time,latitude,longitude,mag
2011-03-11T08:51:05.360Z,37.556,143.642,5.3
2011-03-11T08:52:04.660Z,36.326,141.098,5.3
2011-03-11T08:52:23.420Z,36.77,141.924,5.5
2011-03-11T08:55:07.520Z,36.607,141.597,5.0
2011-03-11T09:00:14.520Z,37.281,142.497,5.1
2011-03-11T09:04:06.900Z,37.376,142.718,5.4
2011-03-11T09:05:34.020Z,37.301,142.674,5.3
2011-03-11T09:06:03.130Z,37.403,143.997,5.1
2011-03-11T09:09:14.680Z,37.683,143.311,5.5
2011-03-11T09:16:29.890Z,37.967,140.117,5.0
2011-03-11T09:19:07.840Z,37.439,144.13,5.0
2011-03-11T09:27:42.240Z,38.298,142.159,5.3
2011-03-11T09:34:12.770Z,37.696,142.65,5.0
2011-03-11T09:37:04.610Z,35.912,141.601,5.5
2011-03-11T09:42:20.550Z,39.495,142.705,5.3
2011-03-11T09:45:25.080Z,36.664,142.299,5.0
2011-03-11T09:45:44.220Z,37.397,144.121,5.0
2011-03-11T09:47:01.830Z,39.599,143.056,5.4
2011-03-11T09:51:06.650Z,36.223,141.822,5.1
2011-03-11T09:52:43.840Z,37.715,141.812,5.0
2011-03-11T09:59:51.990Z,36.661,142.191,5.3
2011-03-11T10:00:27.200Z,37.295,143.158,5.1
2011-03-11T10:10:34.220Z,39.185,142.76,6.0
2011-03-11T10:15:49.410Z,35.808,140.983,5.0
2011-03-11T10:19:51.620Z,36.047,141.61,5.0
2011-03-11T10:20:26.240Z,36.896,142.247,5.4
2011-03-11T10:21:09.350Z,37.256,142.032,5.4
2011-03-11T10:21:55.670Z,37.97,142.863,5.1
2011-03-11T10:22:02.630Z,36.665,142.521,5.7
2011-03-11T10:28:21.040Z,37.961,143.571,5.0
2011-03-11T10:28:42.690Z,39.397,143.592,5.9
2011-03-11T10:35:36.710Z,37.05,141.2,5.2
2011-03-11T10:40:53.720Z,36.688,142.487,5.0
2011-03-11T10:44:08.030Z,38.387,143.116,5.0
2011-03-11T10:45:19.320Z,35.888,141.388,5.4
2011-03-11T10:45:44.690Z,38.417,143.752,5.6
2011-03-11T10:47:08.970Z,37.491,143.05,5.2
2011-03-11T10:52:08.320Z,38.491,143.36,5.0
2011-03-11T10:58:02.840Z,39.002,142.267,5.2
2011-03-11T11:00:52.420Z,37.737,141.496,5.6
2011-03-11T11:02:30.040Z,39.173,142.965,5.3
2011-03-11T11:06:07.560Z,38.004,142.605,5.0
2011-03-11T11:06:44.440Z,37.024,142.544,5.1
2011-03-11T11:09:45.830Z,36.481,143.265,5.2
2011-03-11T11:10:58.300Z,35.535,141.842,5.5
2011-03-11T11:13:12.980Z,36.38,141.778,5.5
2011-03-11T11:15:56.250Z,39.193,143.323,5.3
2011-03-11T11:16:50.250Z,36.628,141.809,5.5
2011-03-11T11:21:03.070Z,35.684,140.933,5.7
2011-03-11T11:21:29.790Z,37.547,143.073,5.8
2011-03-11T11:25:31.740Z,35.571,142.011,5.2
2011-03-11T11:27:18.490Z,39.128,143.369,5.4
2011-03-11T11:28:50.830Z,38.504,142.162,5.2
2011-03-11T11:30:19.150Z,39.219,143.43,5.4
2011-03-11T11:31:13.990Z,38.085,140.115,5.1
2011-03-11T11:32:14.800Z,36.238,142.396,5.7
2011-03-11T11:32:27.130Z,39.065,143.166,5.8
2011-03-11T11:35:25.320Z,37.906,144.783,5.3
2011-03-11T11:36:40.920Z,39.241,142.463,6.6
2011-03-11T11:42:08.320Z,39.319,142.906,5.4
2011-03-11T11:44:28.300Z,36.695,142.244,5.7
2011-03-11T11:46:42.500Z,36.004,141.171,5.8
2011-03-11T11:49:22.550Z,37.9,144.486,5.0
2011-03-11T11:54:00.740Z,36.93,142.513,5.3
2011-03-11T11:55:21.300Z,37.228,142.703,5.3
2011-03-11T11:56:13.240Z,36.267,141.527,5.5
2011-03-11T11:56:34.940Z,37.693,143.014,5.3
2011-03-11T11:57:16.060Z,39.202,142.094,5.3
2011-03-11T11:58:54.410Z,35.752,142.08,5.6
2011-03-11T12:04:11.930Z,36.333,142.744,5.1
2011-03-11T12:10:19.100Z,38.899,144.64,5.0
2011-03-11T12:12:54.800Z,38.055,142.548,5.9
2011-03-11T12:15:45.320Z,39.084,142.264,5.8
2011-03-11T12:24:35.150Z,36.48,141.75,5.3
2011-03-11T12:28:45.910Z,36.191,141.712,5.2
2011-03-11T12:33:18.180Z,38.059,142.695,5.4
2011-03-11T12:34:19.660Z,36.986,143.624,5.3
2011-03-11T12:34:31.830Z,37.463,143.301,5.4
2011-03-11T12:35:21.680Z,39.283,143.512,5.3
2011-03-11T12:49:02.640Z,36.147,141.602,5.6
2011-03-11T12:54:53.250Z,38.499,141.976,5.4
2011-03-11T12:56:05.330Z,37.795,141.96,5.5
2011-03-11T12:59:22.310Z,36.145,141.692,5.2
2011-03-11T13:02:43.170Z,36.541,141.976,5.3
2011-03-11T13:14:40.230Z,37.744,143.762,5.1
2011-03-11T13:15:47.030Z,37.377,141.884,5.1
2011-03-11T13:16:51.500Z,36.371,141.743,5.6
2011-03-11T13:18:16.630Z,37.575,142.827,5.5
2011-03-11T13:26:26.390Z,35.789,142.135,5.0
2011-03-11T13:31:55.460Z,39.21,142.798,5.1
2011-03-11T13:34:30.600Z,36.162,141.84,5.5
2011-03-11T13:42:27.190Z,37.338,142.061,5.0
2011-03-11T13:43:09.590Z,38.989,144.126,5.7
2011-03-11T13:47:42.760Z,36.87,141.15,5.0
2011-03-11T13:48:29.400Z,36.635,141.878,5.0
2011-03-11T13:48:37.840Z,38.371,143.123,5.3
2011-03-11T13:55:28.870Z,37.995,142.895,5.2
2011-03-11T13:56:01.600Z,37.217,142.144,5.1
2011-03-11T14:00:38.590Z,36.123,140.761,5.5
2011-03-11T14:10:37.160Z,37.498,141.935,5.2
2011-03-11T14:20:16.220Z,37.546,143.221,5.1
2011-03-11T14:21:21.490Z,37.093,142.112,5.0
2011-03-11T14:26:33.850Z,37.408,142.379,5.0
2011-03-11T14:27:40.540Z,37.052,143.957,5.4
2011-03-11T14:27:57.040Z,37.112,144.036,5.5
2011-03-11T14:44:11.070Z,36.673,140.795,5.1
2011-03-11T14:49:09.480Z,38.118,144.287,5.0
2011-03-11T14:53:59.730Z,35.966,141.899,5.3
2011-03-11T14:56:11.930Z,35.96,141.403,5.8
2011-03-11T15:01:41.110Z,39.045,142.354,5.0
2011-03-11T15:06:24.310Z,37.283,141.741,5.0
2011-03-11T15:07:39.530Z,36.332,141.54,5.5
2011-03-11T15:13:14.680Z,35.994,141.808,6.3
2011-03-11T15:19:38.270Z,36.247,141.856,5.5
2011-03-11T15:20:08.190Z,36.398,141.864,6.0
2011-03-11T15:22:27.020Z,35.637,141.548,5.5
2011-03-11T15:26:00.170Z,37.319,142.284,5.2
2011-03-11T15:32:34.050Z,37.181,142.245,5.2
